Study_Hours,Attendance_Percentage,Previous_Exam_Score,Assignment_Completion,Final_Exam_Score
8.0,52.0,81,86.0,66.7
4.4,62.0,51,90.0,52.5
9.2,60.0,67,98.0,75.0
7.6,71.0,49,69.0,64.1
8.7,96.0,85,94.0,85.7
0.6,84.0,50,69.0,41.3
4.1,90.0,82,46.0,63.6
9.5,70.0,63,81.0,66.6
3.4,76.0,49,48.0,41.6
1.6,65.0,52,64.0,41.6
9.5,76.0,54,96.0,69.8
4.4,67.0,39,84.0,46.8
8.6,56.0,82,74.0,75.8
3.1,57.0,93,45.0,58.5
0.7,100.0,77,55.0,58.4
8.4,85.0,61,77.0,66.6
1.9,88.0,35,57.0,43.8
2.9,61.0,49,82.0,49.8
8.0,87.0,76,41.0,66.3
5.5,97.0,43,70.0,55.8
4.8,64.0,40,86.0,52.1
4.9,51.0,42,70.0,49.5
7.3,78.0,44,97.0,57.3
3.1,90.0,76,64.0,64.1
6.3,56.0,49,94.0,57.7
8.7,77.0,92,96.0,79.2
4.5,56.0,75,67.0,55.1
7.0,80.0,43,45.0,57.8
7.5,58.0,42,77.0,59.9
4.4,92.0,89,95.0,75.6
3.5,56.0,99,53.0,57.4
3.8,85.0,82,47.0,62.9
8.5,99.0,38,78.0,68.6
2.2,94.0,74,,59.1
5.9,75.0,43,49.0,53.4
5.5,74.0,88,69.0,66.2
7.9,86.0,45,96.0,60.4
6.9,67.0,91,82.0,72.3
2.5,82.0,49,62.0,45.6
5.1,92.0,74,42.0,59.0
2.4,,52,88.0,44.4
7.6,61.0,51,64.0,58.1
6.8,72.0,44,65.0,58.8
9.3,70.0,89,76.0,78.0
4.3,70.0,56,91.0,59.6
3.9,77.0,48,55.0,47.5
8.8,97.0,78,54.0,74.2
1.6,82.0,59,97.0,54.3
6.6,59.0,65,46.0,53.8
7.7,91.0,44,51.0,64.0
5.9,87.0,92,83.0,78.6
6.4,90.0,75,49.0,65.6
8.1,87.0,42,62.0,60.6
1.0,68.0,44,81.0,43.8
5.3,79.0,40,68.0,55.3
6.2,82.0,54,43.0,55.7
9.8,55.0,99,81.0,78.4
4.7,83.0,55,63.0,53.6
3.7,88.0,41,90.0,52.7
5.8,74.0,71,56.0,63.4
8.8,71.0,45,77.0,64.0
6.7,92.0,85,48.0,71.8
4.1,100.0,77,92.0,63.7
10.0,83.0,46,81.0,70.5
3.4,63.0,78,100.0,62.8
2.0,68.0,47,72.0,45.6
0.9,71.0,51,78.0,41.3
7.8,60.0,91,42.0,68.6
4.7,68.0,92,54.0,64.4
5.0,62.0,82,83.0,68.3
3.2,74.0,99,73.0,64.9
6.2,66.0,41,81.0,53.1
7.3,83.0,50,58.0,55.7
5.4,77.0,46,100.0,61.2
9.3,76.0,41,65.0,61.9
4.1,51.0,75,99.0,54.8
1.9,52.0,71,98.0,54.6
7.2,78.0,35,97.0,53.9
5.7,96.0,89,47.0,72.8
2.8,90.0,93,44.0,58.0
0.7,82.0,65,85.0,46.1
2.8,76.0,58,82.0,53.3
9.6,84.0,99,90.0,92.3
5.0,90.0,84,63.0,64.7
3.8,96.0,48,89.0,56.2
3.8,71.0,57,93.0,57.3
6.5,58.0,43,85.0,56.7
0.9,62.0,40,60.0,39.2
5.7,66.0,39,88.0,53.5
1.0,91.0,77,57.0,49.2
7.6,74.0,78,51.0,68.0
5.4,55.0,89,45.0,60.9
3.3,56.0,45,60.0,43.9
4.5,94.0,91,62.0,68.3
6.3,77.0,70,80.0,70.4
6.6,73.0,100,91.0,80.0
8.6,93.0,91,42.0,74.0
3.9,86.0,39,78.0,45.9
4.7,54.0,52,73.0,48.5
9.6,51.0,58,71.0,65.1
7.9,95.0,92,53.0,82.7
5.2,57.0,52,94.0,50.0
10.0,93.0,75,82.0,79.3
9.0,60.0,57,90.0,65.4
8.0,65.0,98,41.0,71.9
9.8,58.0,46,44.0,57.4
5.5,99.0,87,92.0,75.5
1.2,79.0,79,48.0,54.8
2.2,58.0,90,72.0,60.8
2.0,60.0,55,60.0,47.2
5.4,68.0,45,56.0,46.8
6.4,89.0,46,72.0,60.1
2.1,89.0,78,93.0,64.6
1.3,91.0,68,81.0,50.6
0.8,90.0,72,81.0,57.9
7.0,69.0,93,44.0,71.7
4.9,71.0,53,60.0,55.9
3.8,75.0,51,88.0,51.3
4.9,67.0,92,55.0,61.0
8.7,76.0,66,95.0,76.6
7.4,62.0,55,71.0,64.6
5.2,55.0,85,72.0,62.4
1.0,68.0,98,78.0,62.5
5.6,56.0,90,48.0,66.8
4.0,75.0,41,76.0,48.8
4.2,78.0,70,92.0,66.2
9.8,75.0,82,90.0,85.3
1.9,88.0,100,65.0,64.0
3.7,80.0,93,49.0,64.3
6.3,60.0,85,79.0,70.1
8.4,84.0,97,85.0,83.4
3.6,57.0,88,77.0,58.5
6.5,88.0,95,56.0,78.7
6.0,96.0,41,77.0,57.5
7.9,74.0,53,92.0,66.8
1.5,51.0,91,60.0,51.6
5.3,89.0,95,95.0,79.0
5.4,85.0,76,82.0,66.6
4.9,84.0,78,74.0,63.6
6.6,94.0,68,79.0,68.5
3.3,69.0,71,85.0,53.8
3.8,100.0,70,58.0,56.3
9.8,72.0,53,58.0,61.3
9.3,91.0,67,87.0,76.1
9.4,94.0,69,48.0,69.2
1.0,83.0,63,80.0,46.7
5.0,93.0,52,40.0,58.4
6.7,80.0,96,81.0,73.5
6.6,99.0,46,81.0,62.9
9.4,61.0,88,96.0,83.0
8.4,100.0,98,51.0,86.3
8.8,50.0,73,76.0,69.3
4.8,91.0,98,96.0,80.0
2.3,57.0,77,50.0,52.0
0.6,71.0,72,76.0,50.5
6.6,75.0,89,72.0,70.0
9.8,80.0,76,99.0,77.8
7.7,71.0,73,77.0,71.4
7.1,53.0,50,69.0,53.3
9.0,95.0,74,84.0,74.5
6.3,64.0,52,70.0,52.3
4.5,85.0,95,88.0,72.1
2.9,98.0,45,73.0,49.7
5.9,53.0,99,52.0,67.7
5.4,57.0,61,85.0,57.8
8.2,79.0,51,72.0,62.8
6.9,69.0,37,,50.0
1.2,77.0,79,84.0,50.6
1.2,80.0,39,58.0,37.5
9.8,91.0,88,63.0,87.1
9.1,74.0,45,83.0,69.2
8.7,57.0,57,74.0,62.4
8.4,98.0,37,59.0,60.8
4.1,64.0,66,69.0,52.8
7.4,57.0,39,91.0,57.2
8.9,65.0,61,44.0,59.3
7.2,53.0,66,87.0,58.7
7.7,99.0,42,48.0,59.9
7.4,70.0,76,55.0,64.5
2.6,69.0,70,43.0,49.9
2.2,93.0,89,75.0,63.0
6.9,100.0,75,84.0,72.8
7.7,80.0,65,94.0,67.2
4.9,53.0,87,66.0,62.2
2.4,91.0,45,99.0,50.2
8.4,53.0,69,64.0,66.6
2.3,98.0,62,70.0,51.3
9.1,63.0,59,87.0,64.1
2.8,88.0,61,65.0,57.0
4.1,84.0,80,59.0,59.3
1.4,96.0,95,88.0,68.4
4.4,86.0,63,87.0,56.7
6.0,76.0,72,49.0,58.5
2.8,85.0,78,56.0,59.8
7.5,79.0,56,86.0,68.1
5.1,84.0,42,73.0,48.2
6.8,98.0,35,66.0,53.2
1.9,63.0,99,69.0,58.3
6.4,80.0,97,41.0,66.3
5.5,67.0,71,41.0,57.3
9.4,61.0,48,98.0,61.8
5.5,72.0,69,90.0,62.3
5.9,94.0,63,59.0,64.4
8.7,98.0,39,45.0,60.1
6.5,94.0,56,45.0,60.1
5.9,56.0,40,54.0,44.2
5.0,52.0,44,83.0,53.0
0.8,70.0,37,53.0,35.0
4.3,54.0,73,50.0,53.9
6.9,84.0,77,64.0,71.6
7.4,82.0,79,43.0,64.3
6.2,89.0,85,89.0,72.1
4.8,64.0,80,75.0,66.4
6.8,55.0,72,91.0,62.5
4.1,100.0,54,87.0,57.7
9.5,78.0,81,88.0,77.2
4.8,85.0,100,66.0,67.7
6.2,100.0,76,95.0,72.2
1.3,85.0,66,76.0,51.4
3.1,67.0,98,49.0,56.6
5.1,54.0,81,56.0,63.5
6.4,79.0,48,48.0,52.7
6.4,71.0,91,61.0,69.2
6.1,69.0,76,78.0,69.9
9.7,70.0,72,87.0,77.3
2.8,74.0,70,92.0,59.6
2.4,84.0,58,83.0,54.8
9.5,63.0,91,91.0,78.6
8.1,76.0,98,48.0,77.8
7.3,100.0,83,44.0,72.3
5.6,94.0,88,74.0,67.6
8.2,88.0,45,46.0,62.8
6.6,52.0,86,88.0,66.8
1.4,64.0,100,87.0,61.1
4.7,75.0,94,89.0,72.0
10.0,80.0,48,58.0,65.3
9.4,59.0,79,59.0,70.1
3.8,56.0,91,86.0,64.9
8.2,57.0,37,94.0,55.9
9.3,97.0,66,73.0,72.1
9.6,64.0,86,80.0,74.9
0.8,89.0,60,68.0,48.3
2.5,98.0,43,76.0,44.8
3.6,79.0,49,56.0,49.9
3.5,74.0,85,77.0,58.3
2.1,93.0,73,98.0,61.1
1.6,69.0,49,51.0,38.9
6.2,86.0,84,67.0,67.1
6.6,61.0,56,71.0,55.5
6.4,72.0,36,71.0,48.4
5.3,81.0,87,83.0,69.7
2.1,86.0,38,90.0,48.1
5.6,60.0,93,76.0,70.6
1.6,57.0,69,89.0,50.0
7.7,98.0,91,74.0,77.1
6.7,65.0,73,95.0,72.4
8.3,78.0,50,89.0,68.6
7.0,95.0,89,50.0,75.0
8.2,86.0,79,74.0,72.8
7.2,68.0,69,100.0,72.1
1.4,98.0,87,98.0,59.4
7.2,58.0,66,49.0,61.7
6.9,81.0,53,76.0,62.9
1.2,100.0,46,65.0,45.4
4.0,81.0,76,77.0,56.6
7.4,79.0,80,94.0,69.9
4.6,63.0,98,57.0,63.6
1.7,81.0,78,97.0,60.1
7.9,79.0,37,47.0,59.2
9.9,77.0,60,84.0,76.8
8.8,67.0,46,81.0,61.1
6.7,53.0,85,80.0,65.7
6.7,95.0,47,40.0,54.2
5.4,78.0,36,40.0,48.5
4.5,58.0,96,44.0,59.2
1.5,73.0,73,48.0,47.5
6.6,93.0,53,,59.4
4.7,96.0,62,80.0,64.2
4.7,63.0,46,97.0,48.2
4.1,77.0,75,90.0,58.8
5.8,88.0,71,89.0,72.0
8.8,63.0,100,52.0,79.7
9.0,65.0,98,64.0,75.0
5.5,50.0,81,99.0,62.8
4.5,84.0,57,88.0,57.9
6.1,50.0,68,53.0,51.6
5.3,90.0,99,89.0,75.5
5.6,89.0,54,57.0,53.3
9.8,59.0,76,65.0,73.3
6.6,69.0,90,86.0,77.3
9.3,57.0,93,79.0,79.4
7.5,57.0,36,85.0,50.4
3.8,83.0,68,50.0,54.1
7.5,57.0,38,61.0,55.0
7.3,86.0,44,71.0,59.4
5.9,73.0,55,56.0,58.4
1.6,97.0,100,40.0,57.2
5.0,74.0,54,51.0,56.7
9.2,97.0,88,54.0,78.7
3.1,54.0,82,47.0,52.8
8.1,52.0,86,44.0,71.2
3.5,55.0,93,40.0,55.7
7.5,65.0,94,63.0,74.1
2.4,84.0,66,49.0,45.9
3.8,94.0,36,100.0,50.5
7.5,69.0,48,53.0,56.9
1.1,59.0,70,45.0,39.0
4.4,73.0,93,87.0,64.3
8.3,54.0,42,67.0,57.3
8.6,75.0,76,60.0,70.9
1.8,99.0,48,49.0,41.6
1.6,72.0,61,68.0,45.0
2.0,93.0,73,92.0,61.0
8.6,59.0,46,85.0,58.5
6.9,66.0,57,41.0,60.6
5.7,56.0,94,46.0,67.5
8.4,64.0,51,52.0,62.4
6.6,87.0,68,98.0,72.8
9.1,78.0,51,45.0,66.8
0.9,79.0,41,50.0,41.3
5.2,74.0,89,51.0,63.7
4.7,59.0,39,79.0,48.1
4.4,85.0,96,43.0,62.3
6.6,83.0,66,80.0,71.1
4.1,95.0,80,70.0,65.4
5.3,74.0,69,51.0,53.7
8.2,67.0,42,91.0,65.6
10.0,60.0,47,55.0,63.4
9.2,53.0,63,76.0,69.9
8.5,61.0,57,55.0,62.3
9.2,51.0,80,100.0,75.6
8.4,81.0,74,51.0,70.0
2.6,83.0,96,40.0,58.9
3.7,61.0,76,43.0,48.3
7.9,83.0,81,44.0,69.4
1.5,69.0,76,48.0,53.7
6.6,81.0,75,51.0,67.5
6.3,72.0,63,82.0,63.4
7.0,58.0,57,86.0,55.3
8.6,99.0,39,51.0,62.7
2.6,86.0,48,99.0,51.4
3.8,70.0,56,80.0,56.3
6.6,71.0,92,40.0,65.9
2.9,56.0,35,43.0,34.5
8.9,81.0,83,62.0,76.5
8.7,91.0,63,50.0,68.3
0.7,66.0,48,44.0,34.3
1.2,55.0,78,78.0,54.8
4.6,91.0,56,78.0,62.1
2.5,62.0,87,84.0,59.2
6.8,69.0,65,46.0,55.2
2.0,73.0,35,67.0,34.9
5.1,56.0,38,53.0,40.7
8.5,69.0,85,70.0,74.3
5.7,61.0,82,96.0,66.0
4.7,66.0,63,93.0,55.9
6.8,55.0,79,91.0,67.9
5.8,74.0,88,74.0,71.1
2.7,69.0,45,65.0,47.6
9.1,86.0,53,47.0,69.6
2.1,63.0,59,48.0,39.1
2.4,90.0,53,93.0,53.6
8.2,55.0,84,75.0,70.2
4.9,50.0,88,47.0,58.3
7.7,56.0,48,76.0,60.4
8.9,76.0,68,64.0,71.6
2.1,75.0,53,79.0,48.5
9.0,71.0,65,43.0,68.3
0.7,100.0,73,59.0,50.4
1.4,64.0,52,59.0,45.5
3.1,76.0,46,52.0,44.1
5.1,83.0,82,92.0,64.5
7.2,75.0,52,89.0,66.1
2.3,62.0,42,55.0,34.2
2.4,73.0,94,72.0,60.4
2.8,81.0,92,51.0,65.3
3.8,66.0,46,58.0,40.9
7.9,63.0,63,81.0,62.5
5.4,99.0,36,70.0,58.1
0.6,66.0,74,85.0,54.3
4.1,72.0,93,56.0,60.9
6.4,87.0,48,40.0,55.3
4.1,91.0,71,59.0,61.6
3.1,70.0,70,56.0,54.1
2.3,83.0,65,97.0,51.3
4.3,70.0,52,86.0,48.4
9.1,75.0,84,87.0,74.2
2.3,96.0,63,83.0,56.1
6.9,82.0,73,94.0,67.6
3.3,80.0,51,87.0,49.5
2.2,93.0,77,81.0,55.5
3.4,100.0,77,63.0,59.6
5.0,90.0,44,70.0,57.9
4.1,69.0,87,43.0,63.2
3.8,86.0,93,49.0,62.7
5.1,90.0,57,,59.0
7.7,60.0,55,71.0,63.0
4.6,77.0,86,67.0,69.5
2.4,73.0,36,97.0,42.3
6.9,90.0,66,54.0,67.0
4.1,87.0,74,50.0,54.7
4.8,83.0,78,67.0,67.6
9.1,72.0,59,50.0,69.6
2.7,96.0,51,53.0,51.4
4.0,91.0,39,64.0,52.7
1.0,53.0,48,81.0,42.2
4.7,57.0,67,70.0,57.3
0.6,76.0,47,82.0,41.9
4.5,56.0,100,86.0,69.2
5.2,88.0,60,89.0,59.7
7.2,68.0,55,42.0,57.2
5.1,65.0,35,40.0,44.7
6.9,59.0,46,89.0,56.8
2.9,64.0,93,58.0,56.8
8.8,68.0,81,91.0,77.9
8.6,52.0,36,94.0,53.7
9.0,89.0,69,96.0,79.2
1.6,75.0,93,57.0,60.7
4.5,60.0,49,48.0,48.3
2.0,76.0,96,91.0,64.5
7.9,89.0,38,95.0,64.7
1.7,81.0,49,96.0,47.1
3.5,95.0,63,82.0,62.5
6.4,77.0,66,70.0,61.7
8.5,85.0,41,40.0,59.7
8.6,60.0,44,88.0,60.8
1.0,64.0,83,65.0,54.3
5.9,55.0,98,68.0,67.0
0.7,75.0,87,,51.5
6.2,89.0,73,96.0,70.5
9.5,73.0,41,92.0,62.4
6.4,80.0,81,85.0,70.4
0.5,72.0,72,75.0,48.8
2.1,58.0,87,46.0,49.8
8.6,63.0,93,92.0,81.8
4.4,90.0,50,89.0,60.6
5.3,81.0,35,73.0,52.8
6.1,82.0,57,84.0,62.7
4.2,88.0,76,72.0,66.7
7.1,65.0,70,65.0,68.5
1.8,76.0,100,59.0,64.2
7.5,85.0,62,52.0,61.3
9.3,58.0,57,72.0,65.5
7.7,85.0,96,77.0,80.4
7.6,84.0,71,96.0,76.2
0.7,59.0,41,82.0,32.3
9.8,93.0,67,49.0,76.9
7.7,52.0,80,92.0,69.5
5.8,64.0,84,55.0,63.9
7.1,53.0,83,64.0,65.3
9.7,53.0,36,87.0,57.3
8.8,64.0,82,88.0,76.3
7.4,62.0,72,68.0,62.0
2.2,82.0,50,64.0,41.5
2.0,66.0,35,61.0,36.7
9.3,88.0,41,89.0,71.2
5.2,86.0,80,44.0,66.2
2.2,54.0,99,50.0,55.7
2.6,63.0,77,61.0,51.5
5.5,85.0,36,47.0,50.6
6.3,89.0,66,42.0,63.6
9.5,74.0,67,74.0,74.5
7.8,82.0,100,68.0,79.6
3.5,55.0,47,50.0,46.9
6.5,63.0,62,95.0,64.5
8.4,97.0,90,81.0,85.4
0.7,95.0,77,42.0,46.9
5.8,86.0,64,98.0,63.5
4.6,51.0,84,,57.6
1.1,97.0,40,84.0,48.1
3.3,93.0,73,78.0,56.8
4.3,92.0,38,70.0,46.9
8.1,84.0,72,80.0,69.0
8.1,96.0,82,100.0,75.8
0.9,86.0,85,74.0,57.1
7.5,96.0,79,53.0,71.4
2.0,64.0,67,52.0,43.0
1.0,98.0,94,81.0,63.6
1.4,96.0,97,100.0,65.5
1.5,89.0,43,97.0,43.8
6.8,94.0,54,76.0,64.6
2.1,70.0,66,90.0,49.6
8.5,58.0,77,96.0,72.5
5.1,56.0,57,81.0,55.1
1.8,84.0,60,56.0,50.2
9.0,82.0,38,92.0,65.1
9.1,85.0,68,74.0,77.4
1.9,75.0,63,97.0,55.2
4.9,82.0,46,65.0,51.0
9.7,89.0,56,88.0,73.5
9.5,92.0,53,87.0,74.5
7.7,64.0,43,56.0,53.5
9.1,73.0,84,70.0,80.6
6.7,56.0,70,93.0,66.9
4.1,74.0,81,77.0,63.9
4.1,64.0,86,62.0,63.7
8.9,50.0,99,96.0,76.5
6.6,63.0,54,51.0,51.4
6.8,76.0,77,86.0,66.1
6.1,91.0,87,41.0,66.3
1.8,82.0,40,97.0,46.2
2.2,75.0,37,96.0,46.3
1.3,78.0,95,95.0,62.1
1.9,87.0,58,79.0,52.4
3.8,79.0,43,54.0,45.2
5.5,82.0,88,92.0,68.5
6.3,52.0,99,88.0,68.4
6.2,50.0,90,73.0,65.8
4.6,80.0,83,62.0,64.7
7.1,56.0,89,48.0,64.4
1.3,88.0,87,56.0,53.5
6.0,57.0,35,64.0,48.5
3.9,59.0,89,81.0,63.3
5.9,89.0,70,83.0,66.0
5.8,61.0,82,75.0,65.5
3.8,95.0,85,87.0,64.3
2.7,100.0,55,46.0,47.5
5.7,94.0,41,50.0,52.1
8.3,80.0,90,45.0,70.2
0.9,74.0,86,79.0,57.0
1.0,99.0,57,80.0,50.1
9.3,83.0,71,52.0,67.4
2.7,60.0,39,,37.0
10.0,99.0,86,62.0,85.1
0.6,95.0,43,98.0,41.5
9.2,72.0,79,92.0,75.2
9.3,86.0,35,56.0,57.2
5.3,71.0,49,91.0,55.8
8.0,66.0,91,64.0,74.4
9.6,79.0,93,97.0,86.2
1.1,90.0,63,83.0,53.3
3.9,84.0,36,84.0,52.0
6.9,71.0,44,75.0,60.8
9.0,67.0,58,100.0,72.0
7.5,65.0,65,95.0,64.5
8.4,72.0,54,89.0,62.1
6.8,89.0,35,88.0,61.4
4.0,70.0,98,97.0,74.6
5.2,98.0,100,57.0,73.0
5.5,77.0,96,100.0,75.3
7.0,61.0,93,47.0,70.8
0.6,63.0,83,77.0,47.3
2.3,66.0,65,57.0,47.6
5.2,63.0,88,84.0,69.3
4.8,86.0,51,76.0,57.8
8.1,85.0,90,94.0,79.6
1.9,50.0,57,66.0,42.2
5.4,96.0,75,90.0,69.3
1.0,56.0,55,43.0,34.4
1.4,97.0,77,56.0,53.7
2.9,51.0,87,47.0,51.9
6.0,91.0,57,89.0,61.7
7.9,78.0,45,64.0,60.7
8.7,90.0,78,66.0,77.1
1.2,60.0,78,54.0,46.1
6.3,75.0,69,96.0,66.3
6.1,78.0,87,50.0,64.4
6.8,97.0,45,53.0,55.3
8.8,85.0,41,41.0,61.9
1.5,89.0,54,45.0,46.1
2.9,68.0,91,80.0,58.1
0.8,72.0,76,95.0,53.0
3.1,78.0,52,100.0,54.9
6.5,90.0,90,73.0,76.1
5.1,64.0,46,68.0,48.1
0.6,83.0,52,62.0,40.1
5.2,98.0,96,59.0,68.0
2.7,50.0,82,52.0,50.6
2.1,97.0,84,93.0,62.7
2.8,98.0,69,58.0,58.1
2.3,54.0,58,48.0,40.1
3.1,89.0,97,52.0,63.1
0.7,,71,57.0,40.0
1.4,50.0,98,53.0,52.0
10.0,79.0,39,61.0,59.0
3.0,75.0,44,74.0,45.9
8.3,50.0,50,89.0,62.6
2.8,52.0,60,69.0,48.8
2.5,74.0,74,99.0,56.3
9.4,83.0,50,56.0,65.3
1.0,92.0,62,47.0,44.1
8.0,87.0,50,,66.3
7.9,80.0,54,63.0,65.7
7.0,71.0,42,43.0,50.8
1.5,81.0,64,60.0,53.2
8.2,78.0,59,41.0,64.5
9.0,81.0,91,75.0,78.6
2.3,72.0,76,86.0,56.0
8.7,60.0,43,73.0,55.5
4.0,50.0,99,64.0,64.9
4.0,89.0,65,60.0,59.4
4.2,83.0,98,89.0,72.2
6.6,57.0,47,73.0,55.5
2.2,52.0,60,46.0,41.9
8.4,92.0,97,73.0,84.0
2.6,95.0,44,40.0,48.9
9.0,55.0,94,91.0,80.3
9.0,73.0,42,92.0,65.2
8.4,54.0,62,73.0,59.7
2.3,83.0,66,76.0,54.9
4.4,56.0,80,83.0,59.9
2.1,61.0,86,72.0,54.0
4.7,72.0,75,75.0,66.3
7.8,77.0,76,78.0,69.1
5.7,97.0,67,63.0,69.0
7.4,,37,73.0,51.0
9.9,63.0,75,41.0,72.9
9.2,82.0,54,46.0,60.3
4.0,87.0,66,54.0,54.0
5.9,63.0,44,86.0,51.8
9.0,94.0,47,78.0,69.4
4.1,99.0,42,98.0,58.5
4.5,57.0,64,87.0,57.2
7.9,74.0,41,59.0,57.1
3.6,94.0,63,49.0,50.4
4.7,88.0,99,45.0,66.3
1.8,55.0,95,76.0,59.8
4.3,77.0,51,88.0,50.7
6.7,62.0,66,55.0,55.3
9.3,55.0,49,82.0,62.1
3.8,91.0,38,89.0,49.0
9.9,78.0,53,68.0,63.9
4.1,98.0,45,47.0,52.9
1.9,68.0,36,61.0,39.4
0.7,63.0,62,53.0,41.8
6.4,59.0,37,64.0,50.0
2.1,68.0,60,90.0,51.9
